"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.16156946237312586,0.3380325401892905,0.16666666666666666,0.75,0.0
0.16527141585685384,0.3060519535020024,0.0,1.0,0.0
0.7156499719224203,0.3370665923295251,0.0,1.0,1.0
0.4147626601926392,0.761386328419087,0.0,0.0,0.0
0.7730791787368407,0.3345047729918047,1.0,1.0,1.0
0.15898629888935795,0.2956706005844965,1.0,1.0,0.0
0.17592124918965113,0.3256101281909834,1.0,1.0,1.0
0.7111605738362041,0.1824344955343481,0.0,0.25,0.0
0.16656050113452248,0.47435415831302685,0.0,0.25,0.5
0.13806983858443644,0.37354682986571985,0.0,0.75,0.0
0.17268109800239956,0.26953974705644096,0.35714285714285715,0.75,1.0
0.775811027553988,0.2573095553603048,0.2222222222222222,1.0,0.5
0.3078707413911703,0.39580849334335455,0.0,0.5,0.0
0.20203057809067332,0.3704080419125247,0.7692307692307693,0.5,0.0
0.14778860864488552,0.5868573113472055,0.0,0.0,1.0
0.36512412714584086,0.424352739074712,0.18181818181818182,1.0,0.0
0.5619548359706797,0.4025465007434101,0.5,1.0,1.0
0.5951045950777336,0.34899096051032386,0.0,0.25,0.0
0.13549036366213074,0.4003962853206735,0.2857142857142857,1.0,0.0
0.6675901669707409,0.4235725784149768,0.6666666666666666,1.0,0.0
0.782405937764546,0.2656133840320778,0.6666666666666666,1.0,0.0
0.15714027916218215,0.3524793510247601,0.25,1.0,0.0
0.16220112458320995,0.14967828454575752,0.38461538461538464,0.75,1.0
0.146904828555176,0.5053541772371966,0.16666666666666666,1.0,0.0
0.11548054040488279,0.0,0.3333333333333333,0.0,0.0
0.11360548742091478,0.4960325949070478,0.42857142857142855,0.0,0.0
0.3215363534438767,0.10007923343597767,0.0,0.75,0.0
0.4337979339551265,0.4030686956481872,0.5,1.0,1.0
0.13498755864230805,0.38891028334732275,0.5,0.5,1.0
0.16407262210422902,0.34660480828327206,0.25,0.25,0.0
0.3340638014363062,0.47985556227900616,0.25,0.0,1.0
0.3230438109630925,0.1714785528413225,0.25,0.75,1.0
0.2408502570939565,0.4205428573117684,0.5,0.5,1.0
0.4528641198555394,0.5329700429926526,0.23076923076923078,0.25,1.0
0.43833879564346373,0.38997359533825676,0.0,0.5,0.0
