"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.13874951563858307,0.35450353464846995,0.3333333333333333,0.75,0.0
0.46198345866486606,0.30645359858705695,0.0,1.0,0.0
0.951226435495165,0.34417868115107875,0.0,1.0,1.0
0.42853013200752027,0.2255572664406779,0.0,0.0,0.0
0.8572295582011741,0.3968633982557752,1.0,1.0,1.0
0.6985289806928034,0.29451205109667006,1.0,1.0,1.0
0.16925663945615194,0.47215385441217217,1.0,1.0,1.0
0.17330581584835564,0.1824344955343481,0.0,0.0,0.0
0.15382757860229274,0.8381535777268786,0.0,0.75,1.0
0.45986191901614537,0.3475594137534066,0.6,0.75,1.0
