"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.7302648452850574,0.29826627552501767,1.0,1.0,0.0
0.638192623395335,0.29763210185406264,1.0,1.0,1.0
0.6796132980158496,0.33202631595333854,1.0,1.0,1.0
0.49919648957785806,0.23043006958342438,1.0,0.25,0.0
0.9379814050717661,0.379790691612333,1.0,1.0,1.0
0.6719616049387775,0.3001037462336688,1.0,1.0,1.0
0.9608060978264104,0.2847805256719297,1.0,1.0,1.0
0.07071603677843524,0.0,0.0,0.75,0.0
0.3248019292302487,0.0,0.4,1.0,1.0
0.0759432319480636,0.0,0.0,0.0,0.0
0.627896585575272,0.3065984996999211,0.75,1.0,1.0
0.27002898326900293,0.6916230387118,1.0,1.0,0.6
0.3694948576374964,0.33553318858176406,0.9090909090909091,1.0,1.0
0.6991718544211535,0.35824424222340795,1.0,1.0,0.2
0.13548626956260804,0.6490036771572648,1.0,0.0,0.5
0.4808579540808822,0.43940040302720784,1.0,1.0,0.9230769230769231
0.49402677361155606,0.4955471777973035,0.9,1.0,0.75
0.4280900212509777,0.36784478545365557,1.0,1.0,0.75
0.5135080540404389,0.4192916478930093,0.967741935483871,1.0,1.0
0.7039150203462051,0.41843433526097157,1.0,1.0,0.75
0.1513021632437887,0.24431123733717144,0.5555555555555556,1.0,1.0
0.6023203759466959,0.43856509390138054,1.0,1.0,1.0
0.4053593305310212,0.12996330901548145,1.0,1.0,1.0
0.319803470466987,0.5049097641307955,0.75,1.0,1.0
0.45239934899542894,0.3821096376743192,1.0,1.0,0.5714285714285714
0.38006515286031506,0.5573053579337744,0.896551724137931,1.0,0.6666666666666666
0.6149346058231037,0.35128123288940977,1.0,1.0,1.0
0.956492123091619,0.48196767437874194,1.0,1.0,0.6363636363636364
0.5308249079484992,0.24765450012624649,1.0,1.0,1.0
0.7049480633988543,0.259723282763706,1.0,1.0,0.8181818181818182
0.2956955497354246,0.2749698752153141,0.9285714285714286,1.0,0.7
0.5363353499939296,0.4432346728542133,0.6666666666666666,1.0,0.0
0.42460606800499046,0.41821228517390313,0.7368421052631579,0.5,1.0
0.43537615765756144,0.2403576865951588,0.75,0.0,1.0
0.7148462908806164,0.4044127718980959,0.9354838709677419,1.0,1.0
