AnswerCorrectness,AnswerRelevancy,Faithfulness,ContextRelevance,ContextRecall
0.08692345133718568,0.0,0.0,0.0,0.0
0.11525514913969058,0.0,0.6666666666666666,0.25,0.3333333333333333
0.07901611795092452,0.0,0.0,1.0,0.5
0.07932673620120777,0.0,0.0,1.0,1.0
0.06367314452093814,0.0,0.0,1.0,0.5
0.20196379559913047,0.40803713369003364,0.6666666666666666,1.0,0.3333333333333333
0.06727554351986284,0.0,0.0,0.25,0.6666666666666666
0.07603946373027966,0.0,0.0,1.0,1.0
0.15370403796635634,0.589774178825783,1.0,1.0,1.0
0.8405693648912056,0.8950983710255539,1.0,1.0,1.0
0.06423254251811797,0.0,0.0,1.0,0.5
0.1609616863918601,0.778342673581543,1.0,1.0,0.0
