"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.18907947484384746,0.27925235139165644,1.0,0.0,0.0
0.38217298555091206,0.28554334492792227,0.0,1.0,0.0
0.7156555898686422,0.3370665923295251,0.0,0.5,1.0
0.6605495987029291,0.3110229278744105,0.0,0.0,0.0
0.09686739302728427,0.0,0.5,0.75,1.0
0.689095600323883,0.28680335691667086,1.0,1.0,1.0
0.574767553809534,0.526639123675686,0.0,1.0,1.0
0.07787239452219519,0.0,0.0,0.25,0.0
0.5320022673262934,0.6504527910604285,0.2,0.5,0.3333333333333333
0.349680564841651,0.8226524203165003,0.0,0.25,0.0
0.4851038166759067,0.23300528046696314,0.46153846153846156,0.5,1.0
0.28110271136680665,0.23992426312651716,0.18181818181818182,0.75,0.0
0.7637023912398769,0.37703890433770804,0.0,0.0,1.0
0.5204698885722341,0.40363047170018557,0.42857142857142855,1.0,1.0
0.07244344694136433,0.0,0.0,0.0,0.5
0.4058465746027917,0.43806068853185676,0.0,1.0,0.25
0.42932271440624276,0.4389882133964072,0.5,1.0,0.75
0.26621364927653224,0.38322531536602916,1.0,0.25,0.0
0.7698982810141083,0.4339069413199286,0.6,1.0,0.0
0.6253011069861968,0.4235447246639339,0.16666666666666666,1.0,0.25
0.16851942164624378,0.2657176122124185,0.5454545454545454,0.5,0.07142857142857142
0.5543056252770806,0.3872463191135806,0.0,1.0,1.0
0.33657863697214097,0.22232708374199972,0.125,0.5,1.0
0.46718221712501107,0.50253761711957,0.375,1.0,0.2
0.5298952226677711,0.36238242885918454,0.5,0.75,0.0
0.6651628372344105,0.5397421792961804,0.18181818181818182,0.25,0.6666666666666666
0.16798303868904804,0.29626719713867117,0.0,0.75,1.0
0.9596758090242407,0.4014955318824936,0.16666666666666666,1.0,0.8181818181818182
0.14263471431626015,0.39144459411949045,0.2,0.25,0.0
0.16454684879534648,0.35422974854608635,0.3333333333333333,0.0,0.3333333333333333
0.7217770428003445,0.4772315072025539,0.3333333333333333,0.75,0.375
0.13552801093164488,0.4399840473094587,0.0,0.25,0.0
0.6267114836003245,0.4517856273656116,0.7857142857142857,0.5,0.4
0.9171353381018765,0.4065429659309235,1.0,0.75,1.0
0.6601002935706277,0.3900065559213845,0.5,0.5,1.0
